"Informazioni cronologiche","I am taking the Python course because...","Coding experience. Fore ""coding"" refer to your favourite programming language, not necessarily Python (yet!):","Experience with Python:","I am (/was) using Python code mostly through:","In Python, I have already (you can leave all options empty):","In Python, you can compare variables using:","In python, how do you start a conditional clause?","How can you (and should!) insert comments in Python code? ","How do you define a list in Python?","Hw do you define a dictionary in Python?","How can you define a loop over the list my_list in Python?","A Python function can take:","The __init__(...) method of a class:","""AClass"" is a class with a property ""a_property"". ""an_obj"" is an object instantiated from AClass. Which of the following assignments are correct:","The experiments that I am performing/analysing for my PhD include:","I would really like to learn how to...(max 3 answers)"
"2024/01/11 9:01:41 AM CET","I am using Python for my work, and I want to know more about it;I want to understand nerdy jokes","I know how to read the scripts I use and modify them in some parts","I have learned about it in a course, but never used it","VsCode","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.);defined functions (even basic ones);used numpy;read any kind of real data from file sources;used matplotlib or other libraries for plot generation;read images;run neural networks;rage quitted",">=","if x > y: ...","# This is a comment","[1, 2, 3]","{""a"": 1, ""b"": 2, ""c"": 3}","for n in my_list: ...","Both answers are correct","Is called when the class is defined","Not sure","Neural networks","Make beautiful visualisations;Understand the structure of my local Python installation;Learn to use git and GitHub;Learn best practices for publishing code;Learn best practices for publishing a dataset;Perform dimensionality reduction / statistical model fitting;Just get my f*****g p-values"
"2024/01/11 9:16:46 AM CET","I am using Python for my work, and I want to know more about it;I am coding in other languages, but I want to know what is this Python people are talking about;I want to reach enlightenment through the Zen of Python (peps.python.org/pep-0020)","I write my own scripts for experiments/analysis","I have been writing some Python code on my own","Spyder","defined functions (even basic ones);used numpy;read any kind of real data from file sources;used matplotlib or other libraries for plot generation;used pandas",">=","if x > y: ...","# This is a comment","[1, 2, 3]","{""a"": 1, ""b"": 2, ""c"": 3}","for n in my_list: ...","Not sure","Not sure","v = an_obj.a_property()","MRI/fMRI","Analyse imaging data;Make beautiful visualisations;Understand the structure of my local Python installation;Perform dimensionality reduction / statistical model fitting;Just get my f*****g p-values"
"2024/01/11 10:12:24 AM CET","I am coding in other languages, but I want to know what is this Python people are talking about;I want to understand nerdy jokes;I want to reach enlightenment through the Zen of Python (peps.python.org/pep-0020)","I write my own scripts for experiments/analysis","I have been writing some Python code on my own","Spyder;Google Colab","defined functions (even basic ones);used numpy;read any kind of real data from file sources;used matplotlib or other libraries for plot generation",">=","if x > y: ...","# This is a comment","[1, 2, 3]","{""a"": 1, ""b"": 2, ""c"": 3}","for n in my_list: ...","Both answers are correct","Is called when an object of that class is instantiated","Not sure","Animal behavior - behavioural tasks;Animal behavior - video analysis;Microscopy  - any kind of microscope producing static videos","Analyse imaging data;Analyse time series;Perform dimensionality reduction / statistical model fitting"
"2024/01/11 10:49:50 AM CET","I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis and I share them in the lab","I do not know anything about Python","","","","","","","","","","","","Electrophysiology in humans - EEG/MEG;MRI/fMRI;DTI;Human behavior - video analysis;Modelling - statistical models;Neural networks","Analyse imaging data;Analyse time series;Learn to use git and GitHub;Learn best practices for publishing code;Perform dimensionality reduction / statistical model fitting"
"2024/01/11 1:38:47 PM CET","I am coding in other languages, but I want to know what is this Python people are talking about;I want to understand nerdy jokes","I write my own scripts for experiments/analysis","I know hot to run Python scripts/notebooks but I have never coded","Spyder;Jupiter Notebook / Lab","defined functions (even basic ones);used numpy;rage quitted","Not sure","if x > y: ...","# This is a comment","Not sure","Not sure","for n in my_list: ...","Both answers are correct","Is called when an object of that class is instantiated","Not sure","Electrophysiology in humans - EEG/MEG;MRI/fMRI;Human behavior - questionnaires;Human behavior - psychophysics tasks);Modelling - statistical models","Analyse time series;Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks"
"2024/01/11 7:19:32 PM CET","People in my lab are using Python, and I want to know more about it;I am coding in other languages, but I want to know what is this Python people are talking about","I write my own scripts for experiments/analysis","I do not know anything about Python","","","","","","","","","","","","Molecular biology;Animal behavior - behavioural tasks;Animal behavior - video analysis;Electrophysiology in animals - EEG/LFP;Electrophysiology in animals - extracellular spikes;Microscopy - any kind of microscope producing static images;Microscopy  - any kind of microscope producing static videos;Optogenetics;Modelling - statistical models;Modelling - biophysical models","Analyse imaging data;Analyse qualitative data (behavioural tasks, questionnaires...);Create interactive graphic interfaces;Implement behavioural tasks;Make beautiful visualisations;Learn to use git and GitHub;Perform dimensionality reduction / statistical model fitting"
"2024/01/12 9:33:08 AM CET","I never wrote code for my work, but I would like/need to","I have never written a line of code","I do not know anything about Python","","","","","","","","","","","","Human behavior - questionnaires;Human behavior - psychophysics tasks)","Create interactive graphic interfaces;Implement behavioural tasks;Make beautiful visualisations;Understand the structure of my local Python installation"
"2024/01/12 3:35:44 PM CET","I never wrote code for my work, but I would like/need to","I have done some coding at the University, but I have never used code for my work","I know hot to run Python scripts/notebooks but I have never coded","I don't remember","used existing scripts/interfaces that do not require coding (DeepLabCut, lab pipelines, etc.)","Not sure","Not sure","# This is a comment","Not sure","Not sure","No clue","Not sure","Not sure","Not sure","Molecular biology;Animal behavior - behavioural tasks;Electrophysiology in animals - EEG/LFP;Microscopy - any kind of microscope producing static images;MRI/fMRI","Analyse imaging data;Analyse time series"
"2024/01/15 11:03:49 AM CET","People in my lab are using Python, and I want to know more about it","I know how to open and run scripts from other people, but I cannot read them","I do not know anything about Python","","","","","","","","","","","","Electrophysiology in humans - EEG/MEG;MRI/fMRI;Human behavior - questionnaires;Modelling - statistical models;Neural networks","Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks;Perform dimensionality reduction / statistical model fitting"
"2024/01/15 2:16:39 PM CET","I never wrote code for my work, but I would like/need to","I know how to read the scripts I use and modify them in some parts","I do not know anything about Python","","","","","","","","","","","","MRI/fMRI;Human behavior - psychophysics tasks)","Analyse imaging data;Analyse qualitative data (behavioural tasks, questionnaires...);Implement behavioural tasks"
