Radius,Theta,Direction,Timestamp
5,3.1415,1,2023-12-17T12:23:48.2339968+01:00
4,2.09439516,1,2023-12-17T12:24:09.2596608+01:00
5,3.1415,2,2023-12-17T12:24:16.2907776+01:00
5,3.76991129,2,2023-12-17T12:24:29.2541696+01:00
5,3.1415,1,2023-12-17T12:24:36.2617216+01:00
4,3.76991129,2,2023-12-17T12:24:49.2650240+01:00
5,3.1415,1,2023-12-17T12:24:56.2694272+01:00
5,3.35103226,2,2023-12-17T12:25:09.2668416+01:00
5,3.1415,1,2023-12-17T12:25:16.2718464+01:00
4,4.18879032,2,2023-12-17T12:25:29.2708864+01:00
5,3.1415,1,2023-12-17T12:25:36.2869504+01:00
5,3.76991129,2,2023-12-17T12:25:49.2739712+01:00
5,3.1415,1,2023-12-17T12:25:56.2883072+01:00
4,2.51327419,1,2023-12-17T12:26:09.2779008+01:00
5,3.1415,2,2023-12-17T12:26:16.2886144+01:00
16,2.29999995,1,2023-12-17T12:26:29.2810368+01:00
5,3.1415,2,2023-12-17T12:26:36.2965504+01:00
5,2.09439516,1,2023-12-17T12:26:49.2846848+01:00
5,3.1415,2,2023-12-17T12:26:56.3034368+01:00
5,2.09439516,1,2023-12-17T12:27:09.2877440+01:00
5,3.1415,2,2023-12-17T12:27:16.2993408+01:00
4,3.35103226,2,2023-12-17T12:27:29.3036544+01:00
5,3.1415,1,2023-12-17T12:27:36.3083904+01:00
3,2.09439516,1,2023-12-17T12:27:49.3168896+01:00
5,3.1415,2,2023-12-17T12:27:56.3219584+01:00
5,2.51327419,1,2023-12-17T12:28:09.3197568+01:00
5,3.1415,2,2023-12-17T12:28:16.3254144+01:00
4,4.18879032,2,2023-12-17T12:28:29.3248640+01:00
5,3.1415,1,2023-12-17T12:28:36.3474048+01:00
5,4.18879032,2,2023-12-17T12:28:49.3271552+01:00
5,3.1415,1,2023-12-17T12:28:56.3435264+01:00
3,2.93215322,1,2023-12-17T12:29:09.3307520+01:00
5,3.1415,2,2023-12-17T12:29:16.3447936+01:00
5,4.18879032,2,2023-12-17T12:29:29.3487360+01:00
5,3.1415,1,2023-12-17T12:29:36.3531264+01:00
5,2.51327419,1,2023-12-17T12:29:49.3510528+01:00
5,3.1415,2,2023-12-17T12:29:56.3641088+01:00
5,2.51327419,1,2023-12-17T12:30:09.3532416+01:00
5,3.1415,2,2023-12-17T12:30:16.3587840+01:00
4,2.09439516,1,2023-12-17T12:30:29.3573504+01:00
5,3.1415,2,2023-12-17T12:30:36.3616384+01:00
3,2.09439516,1,2023-12-17T12:30:49.3720192+01:00
5,3.1415,2,2023-12-17T12:30:56.3773696+01:00
4,4.18879032,2,2023-12-17T12:31:09.3761152+01:00
5,3.1415,1,2023-12-17T12:31:16.3936000+01:00
4,3.35103226,2,2023-12-17T12:31:29.3793408+01:00
5,3.1415,1,2023-12-17T12:31:36.3940096+01:00
4,3.35103226,2,2023-12-17T12:31:49.3825024+01:00
5,3.1415,1,2023-12-17T12:31:56.3983360+01:00
3,3.76991129,2,2023-12-17T12:32:09.3964160+01:00
5,3.1415,1,2023-12-17T12:32:16.4014848+01:00
4,2.93215322,1,2023-12-17T12:32:29.3995776+01:00
5,3.1415,2,2023-12-17T12:32:36.4053376+01:00
3,3.76991129,2,2023-12-17T12:32:49.4155648+01:00
5,3.1415,1,2023-12-17T12:32:56.4206976+01:00
4,2.09439516,1,2023-12-17T12:33:09.4082304+01:00
5,3.1415,2,2023-12-17T12:33:16.4210944+01:00
5,3.35103226,2,2023-12-17T12:33:29.4218240+01:00
5,3.1415,1,2023-12-17T12:33:36.4265088+01:00
4,4.18879032,2,2023-12-17T12:33:49.4263424+01:00
5,3.1415,1,2023-12-17T12:33:56.4426240+01:00
4,3.35103226,2,2023-12-17T12:34:09.4299392+01:00
5,3.1415,1,2023-12-17T12:34:16.4340736+01:00
