cue_location,sequence_location,target_congruent,target_direction,response,correct,rt,sub,trial_num
down,up,yes,right,right,1,0.5442970001604408,sub-daisy_duck,238
up,up,yes,right,right,1,0.3736407998949289,sub-daisy_duck,576
both,up,no,right,right,1,0.576458299998194,sub-daisy_duck,210
down,up,no,left,left,1,0.6456237998791039,sub-daisy_duck,204
down,up,yes,right,right,1,0.5090760001912713,sub-daisy_duck,562
both,up,yes,right,right,1,0.475117800058797,sub-daisy_duck,589
up,up,yes,right,right,1,0.4412926998920738,sub-daisy_duck,28
down,down,yes,left,left,1,0.5089751000050455,sub-daisy_duck,14
up,down,yes,left,left,1,0.3904750999063253,sub-daisy_duck,628
down,up,no,left,left,1,0.510323400143534,sub-daisy_duck,166
both,up,no,left,left,1,0.5261163997929543,sub-daisy_duck,600
both,down,yes,left,left,1,0.4425716998521238,sub-daisy_duck,614
both,up,no,left,left,1,0.6452411999925971,sub-daisy_duck,172
up,up,yes,left,left,1,0.4422351999673992,sub-daisy_duck,199
up,down,yes,right,right,1,0.4413028999697417,sub-daisy_duck,358
both,down,no,right,right,1,0.5256024999544024,sub-daisy_duck,402
up,up,no,right,right,1,0.5945943999104202,sub-daisy_duck,364
down,up,no,left,left,1,0.6280441998969764,sub-daisy_duck,370
down,up,yes,left,left,1,0.3903135000728071,sub-daisy_duck,416
up,up,yes,left,left,1,0.3742130000609904,sub-daisy_duck,371
up,up,yes,right,right,1,0.627897199941799,sub-daisy_duck,417
both,up,yes,right,right,1,0.4420789999421686,sub-daisy_duck,403
both,up,yes,left,left,1,0.4752368999179452,sub-daisy_duck,365
up,down,no,left,left,1,0.5094254999421537,sub-daisy_duck,359
both,down,yes,right,right,1,0.4924604999832809,sub-daisy_duck,198
down,up,no,right,right,1,0.5598523002117872,sub-daisy_duck,615
down,up,yes,left,left,1,0.4759128999430686,sub-daisy_duck,173
both,up,yes,right,right,1,0.4421705999411642,sub-daisy_duck,167
down,up,no,left,left,1,0.4748078000266105,sub-daisy_duck,601
down,up,yes,left,left,1,0.4409066000953316,sub-daisy_duck,629
up,down,yes,right,right,1,0.4073276000563055,sub-daisy_duck,15
both,up,yes,left,left,1,0.3913209000602364,sub-daisy_duck,29
down,down,no,right,right,1,0.5269108000211418,sub-daisy_duck,588
down,up,yes,right,right,1,0.4083465998992324,sub-daisy_duck,205
both,up,no,left,left,1,0.4928868000861257,sub-daisy_duck,563
down,down,yes,left,left,1,0.4077255001757294,sub-daisy_duck,577
up,down,no,right,right,1,0.6102213999256492,sub-daisy_duck,211
both,up,yes,left,left,1,0.4249871999491006,sub-daisy_duck,239
down,down,yes,left,left,1,0.3903230999130755,sub-daisy_duck,549
up,down,no,left,left,1,0.525619599968195,sub-daisy_duck,561
both,up,no,left,left,1,0.5950331999920309,sub-daisy_duck,207
both,down,no,right,right,1,0.5436129998415709,sub-daisy_duck,213
down,up,yes,left,left,1,0.5097779999487102,sub-daisy_duck,575
down,down,no,left,right,0,0.4243772001937032,sub-daisy_duck,17
up,down,yes,left,left,1,0.4241619000677019,sub-daisy_duck,159
down,down,yes,left,left,1,0.4413408001419157,sub-daisy_duck,171
down,down,no,left,left,1,0.6110113000031561,sub-daisy_duck,617
up,up,yes,left,left,1,0.4581643999554217,sub-daisy_duck,603
up,up,no,right,right,1,0.5784071001689881,sub-daisy_duck,165
up,up,no,left,left,1,0.6111947000026703,sub-daisy_duck,429
both,up,yes,left,left,1,0.373682000208646,sub-daisy_duck,415
up,up,yes,right,right,1,0.5609118998982012,sub-daisy_duck,373
up,down,no,left,left,1,0.595196999842301,sub-daisy_duck,367
down,down,no,left,left,1,0.8498607999645174,sub-daisy_duck,401
both,up,yes,left,left,1,0.474706299835816,sub-daisy_duck,398
up,up,no,left,left,1,0.5941949000116438,sub-daisy_duck,399
both,down,no,right,right,1,0.6457113001961261,sub-daisy_duck,366
down,up,no,right,right,1,0.6275298001710325,sub-daisy_duck,400
up,down,no,right,right,1,0.5269877999089658,sub-daisy_duck,414
up,down,yes,right,right,1,0.3905750999692827,sub-daisy_duck,372
both,down,no,right,right,1,0.5428678002208471,sub-daisy_duck,428
down,down,no,right,right,1,0.5764728998765349,sub-daisy_duck,602
up,down,yes,right,right,1,0.4086014998611063,sub-daisy_duck,164
down,up,yes,right,right,1,0.5272485001478344,sub-daisy_duck,170
up,up,no,left,left,1,0.5433322999160737,sub-daisy_duck,616
down,up,yes,left,left,1,0.4256156000774354,sub-daisy_duck,158
both,down,yes,left,left,1,0.390404200181365,sub-daisy_duck,16
both,up,yes,left,left,1,0.441249500028789,sub-daisy_duck,212
up,up,yes,right,right,1,0.4085504000540823,sub-daisy_duck,574
down,down,no,left,left,1,0.5609569998923689,sub-daisy_duck,560
up,down,no,left,left,1,0.5260771000757813,sub-daisy_duck,206
down,down,no,right,right,1,0.5268484000116587,sub-daisy_duck,548
down,up,no,right,left,0,0.3926204999443143,sub-daisy_duck,202
both,up,yes,right,right,1,0.4578635001089424,sub-daisy_duck,564
down,down,no,right,right,1,0.54292710009031,sub-daisy_duck,570
both,up,yes,right,right,1,0.4247616999782622,sub-daisy_duck,216
up,down,yes,left,left,1,0.425212100148201,sub-daisy_duck,558
both,down,no,right,right,1,0.5436293000821024,sub-daisy_duck,12
up,up,yes,right,right,1,0.5446585998870432,sub-daisy_duck,612
both,up,no,right,right,1,0.5783646998461336,sub-daisy_duck,174
both,down,no,left,left,1,0.628299199976027,sub-daisy_duck,160
up,down,no,right,right,1,0.510626999894157,sub-daisy_duck,606
down,down,no,right,right,1,0.5763492998667061,sub-daisy_duck,148
both,up,yes,right,right,1,0.6801534001715481,sub-daisy_duck,376
up,down,yes,right,right,1,0.4080895001534372,sub-daisy_duck,410
up,up,yes,left,left,1,0.4587230000179261,sub-daisy_duck,404
down,down,no,left,left,1,0.5612484999001026,sub-daisy_duck,362
down,up,yes,left,left,1,0.4760439998935908,sub-daisy_duck,438
both,up,no,right,right,1,0.5268864999525249,sub-daisy_duck,389
down,up,no,left,left,1,0.6122411000542343,sub-daisy_duck,388
down,down,no,right,right,1,0.5270930000115186,sub-daisy_duck,439
down,down,no,right,right,1,0.5614008998963982,sub-daisy_duck,405
up,up,no,left,left,1,0.6118834000080824,sub-daisy_duck,363
down,down,no,right,right,1,0.6448894999921322,sub-daisy_duck,377
down,up,no,right,right,1,0.6112782000564039,sub-daisy_duck,411
down,down,no,left,left,1,0.5267982000950724,sub-daisy_duck,149
up,up,no,left,left,1,0.5773885999806225,sub-daisy_duck,161
both,down,no,left,left,1,0.5939104000572115,sub-daisy_duck,607
up,up,no,right,right,1,0.6110621001571417,sub-daisy_duck,613
up,down,no,left,left,1,0.5939976999070495,sub-daisy_duck,175
up,up,no,right,right,1,0.5260240999050438,sub-daisy_duck,13
both,up,no,right,right,1,0.5262403998058289,sub-daisy_duck,559
both,down,yes,right,right,1,0.4585075001232326,sub-daisy_duck,571
both,down,no,right,right,1,0.6277201999910176,sub-daisy_duck,217
both,up,yes,right,right,1,0.4601294999010861,sub-daisy_duck,203
up,down,no,right,right,1,0.5263364999555051,sub-daisy_duck,565
down,down,yes,right,right,1,0.4254356999881565,sub-daisy_duck,215
down,down,yes,left,left,1,0.4424229001160711,sub-daisy_duck,573
up,down,yes,right,right,1,0.4588168000336736,sub-daisy_duck,567
up,up,no,right,right,1,0.5948844000231475,sub-daisy_duck,201
down,down,no,left,left,1,0.5783808999694884,sub-daisy_duck,229
down,up,yes,right,right,1,0.4414689999539405,sub-daisy_duck,598
both,up,yes,right,right,1,0.4411613000556826,sub-daisy_duck,11
both,up,no,right,right,1,0.6118006000760943,sub-daisy_duck,39
