id,ecephys_structure_acronym,ecephys_session_id
849705558,APN,779839471
849705560,APN,779839471
849705562,APN,779839471
849705564,APN,779839471
849705566,APN,779839471
849705568,APN,779839471
849705570,APN,779839471
849705572,APN,779839471
849705574,APN,779839471
849705576,APN,779839471
849705578,APN,779839471
849705580,APN,779839471
849705582,APN,779839471
849705584,APN,779839471
849705586,APN,779839471
849705588,APN,779839471
849705590,APN,779839471
849705592,APN,779839471
849705594,APN,779839471
849705596,APN,779839471
849705598,APN,779839471
849705600,APN,779839471
849705602,APN,779839471
849705604,APN,779839471
849705606,APN,779839471
849705608,APN,779839471
849705610,APN,779839471
849705612,APN,779839471
849705614,APN,779839471
849705616,APN,779839471
849705618,APN,779839471
849705620,APN,779839471
849705626,APN,779839471
849705630,APN,779839471
849705632,APN,779839471
849705634,APN,779839471
849705636,APN,779839471
849705638,APN,779839471
849705640,APN,779839471
849705644,APN,779839471
849705646,APN,779839471
849705652,APN,779839471
849705654,APN,779839471
849705656,APN,779839471
849705658,APN,779839471
849705660,APN,779839471
849705662,APN,779839471
849705664,APN,779839471
849705666,APN,779839471
849705668,APN,779839471
849705670,APN,779839471
849705672,APN,779839471
849705674,APN,779839471
849705676,APN,779839471
849705678,APN,779839471
849705680,APN,779839471
849705682,APN,779839471
849705684,APN,779839471
849705686,APN,779839471
849705688,APN,779839471
849705690,APN,779839471
849705692,APN,779839471
849705696,APN,779839471
849705698,APN,779839471
849705700,APN,779839471
849705702,APN,779839471
849705704,APN,779839471
849705708,APN,779839471
849705710,APN,779839471
849705712,APN,779839471
849705714,APN,779839471
849705716,APN,779839471
849705718,APN,779839471
849705720,LP,779839471
849705722,LP,779839471
849705724,LP,779839471
849705726,MB,779839471
849705728,MB,779839471
849705730,MB,779839471
849705732,MB,779839471
849705734,MB,779839471
849705736,MB,779839471
849705738,MB,779839471
849705740,MB,779839471
849705742,MB,779839471
849705744,MB,779839471
849705746,MB,779839471
849705748,MB,779839471
849705750,MB,779839471
849705752,MB,779839471
849705754,MB,779839471
849705756,MB,779839471
849705758,MB,779839471
849705760,MB,779839471
849705762,MB,779839471
849705764,MB,779839471
849705766,MB,779839471
849705768,MB,779839471
849705770,DG,779839471
849705772,DG,779839471
849705774,DG,779839471
849705776,DG,779839471
849705778,DG,779839471
849705782,DG,779839471
849705784,DG,779839471
849705786,DG,779839471
849705788,DG,779839471
849705790,DG,779839471
849705792,DG,779839471
849705794,DG,779839471
849705796,DG,779839471
849705798,DG,779839471
849705800,DG,779839471
849705802,DG,779839471
849705804,DG,779839471
849705806,DG,779839471
849705808,DG,779839471
849705810,DG,779839471
849705812,DG,779839471
849705814,DG,779839471
849705816,DG,779839471
849705818,DG,779839471
